ja	and
varmasti	certainly, definitely, positively, surely
kahdeksan	eight
toisaalta	on the other hand, then
pois	(movement) away
pitkään	for long, at length
vai	or
varsin	quite; very; exceedingly
kovin	very, really, so.
miksi	why
ensin	first; before
oikein	right; to be correct, correspond to the reality; very, really; properly
alle	less than
lähinnä	closest to; mostly, predominantly
perusteella	based on, on the grounds of
joskus	sometimes
kaikkiaan	total
jälleen	again
kohti	towards; per
mennessä	by
aikaisin	early; ahead of time
kerran	once
puolesta	on behalf of, for; in favor of, for, pro
tässä	here
kokonaan	entirely, fully
varsinkin	Especially, particularly, notably.
tietysti	of course, naturally
välillä	between; occasionally, at times
lopulta	at last, eventually, finally, in the end; at last
mikäli	if, provided that
myötä	for; along
aika	quite
uudelleen	anew, again
suoraan	straight;
nykyisin	today, nowadays
pian	soon
toistaiseksi	for the time being; indefinitely; so far
takana	behind; abaft, astern
neljäs	fourth
helposti	easily
yhteydessä	in contact, in touch
siten	thus; in that way
koko_ajan	all the time
alla	beneath, underneath, below
ei ainakaan	at least not
etenkin	Especially, particularly, notably.
ilmeisesti	apparently, evidently, obviously
yhdeksän	nine
tuskin	hardly
peräti	"Used as fortifier for adjectives, most proper translation into English being often ""very"" or ""quite"".; Used with numerals to indicate that the figure is either in high or low end of the ordinary range. Translated into English as ""as much as, up to, even"" or ""as little as""."
verrattuna	compared to
esillä	out visible, showing; on view/show/display.
ohella	together with, alongside, along with, while
vähintään	at least
runsaasti	plenty
lähtien	since, as of, from, from ... onwards, from ... forward
toki	sure, certainly
kuluttua	in, after, a [period] from
sinne	there
pelkästään	only, merely
esiin	out in the open, into sight:; forward, forth:
eilen	yesterday.
ennen kuin	before
ainoastaan	only, just, alone
vuosittain	yearly, annually, per annum
huomattavasti	considerably, notably, remarkably, significantly
nykyään	currently, at present, these days, nowadays, today
parhaillaan	currently, at the moment, at present
tuolloin	At that time.
yksin	alone
lähellä	near, close, nearby
esille	forward, forth, out, up, to the front, signifying that something that has been hidden comes or is brought to the sight, either in a concrete way or allegorically
joko; joko... tai	already?; either... or
liikaa	too much
eteenpäin	forward, onward, ahead; forth; along
läpi	through:
samoin	ditto; likewise
kesken	unfinished; in the middle of:; between, among:
viides	fifth
toiseksi	secondly, for the second
jatkuvasti	continuously, continually, constantly, perpetually:
melko	quite, somewhat
tarjolla	available
melkein	almost, nearly, close to
edessä	in front of
viimeksi	at the last time, previous time
päälle	on; on top of
ulos	out, outside
todennäköisesti	probably, likely
sieltä	from there
välttämättä	necessarily, of necessity; not necessarily
kotona	"at home, at somebody's place"
sisällä	inside; indoors
mukaisesti	in accordance with
samaan aikaan	at the same time
niin kuin	as if; as though
päässä	away
taakse	Of movement, behind:; abaft, astern.
muualla	elsewhere
kauan	A long time.
yhtään	at all; in any way, somewhat, rather
tarkasti	accurately, precisely, in detail
auki	open; untied, unbuttoned; up in the air, open; on, turned on; broke, busted
kohtaan	toward, to
lainkaan	at all
liki	almost, nearly, close to:
aikanaan	eventually, in due time, in due course
alkaen	since; as of; from on
ympäri	around; over, upside down
tietenkin	Of course.
aluksi	first, in the beginning
nimittäin	you see, you know
mielestä	"(in one's) opinion (lit. from one's mind)"
sen verran	so much, that much, at least that much
tarpeeksi	enough
riittävästi	sufficiently
viime_aikoina	lately, of late
mahdollisesti	possibly
hyväksi	for the good for the benefit in order to exploit
parikymmentä	about twenty
keskellä	in the middle
etukäteen	beforehand
paikalla	in attendance, present; on the spot, at once; used as fortifier to the word hetito underline urgency; inplace
silloin_kun	when
täynnä	full of, replete with; full; full
milloin	when
vahvasti	strongly
oikeastaan	actually, in fact
voimakkaasti	powerfully, forcefully, hard; forte
varmaan	probably; for sure
kaikkein	with adjective in superlative: the very, the most ... of all
päästä	in, after, a [period] from
tänne	here
pitkin	along
sentään	at least; however, nevertheless
paitsi	except
jonkin verran	somewhat
ennen kaikkea	above all, most of all, especially
huonosti	badly, poorly
hiukan	a little, bit, slightly
eteen	in front of
ohi	used to indicate movement past or beyond a certain point; over
suhteen	regarding, in regards to, in terms of
puolitoista	one and a half
väliin	between; sometimes, at times
lukuunottamatta	other than, apart from; except, with the exception of
kunnes	until, till
osittain	partly
pahasti	badly
aikoinaan	at one time, once
tähän mennessä	so far, thus far, heretofore, until now, as yet; by now
päin	towards, in/to the direction of
yhteen	together (into one place; into one single thing):
pääasiassa	mainly
kuudes	sixth
vakavasti	seriously
kaukana	far away, afar
selkeästi	clearly
sinänsä	per se
harvoin	seldom, rarely, infrequently
viimeistään	at the latest; not later than
verran	much, about, amount
takaa	from behind
pääosin	mainly
alas	down; downward
itse asiassa	as a matter of fact
kolmanneksi	Translative singular form of kolmas.
myöten	along, up to, down to, reaching
kovasti	hard; a great deal, very much
tällöin	now, then, at this time
toivottavasti	hopefully, it is hoped that
sijasta	in lieu, instead
keskenään	between each other, among each other, with each other:
kuluessa	within
kai	probably; maybe, perhaps
keskuudessa	among
suorastaan	downright, positively
jäljellä	left, remaining
päivittäin	daily
myöhään	late
kunnolla	well, properly; olla ~: to behave
mielellään	gladly, willingly, with pleasure; preferably, rather
tähän_asti	so far, thus far, heretofore, until now, as yet
tiukasti	tightly, fast
mieluusti	gladly; pleasantly
yleisesti	commonly, generally
parissa	among, amongst
tehokkaasti	efficiently, effectively
periaatteessa	in principle
luonnollisesti	naturally
parhaimmillaan	at best
vihdoin	finally, at last
lopullisesti	finally, conclusively, once and for all, for good
vähitellen	gradually, little by little, bit by bit
tarvittaessa	when necessary, where necessary, if necessary, when needed
niin_ikään	also, likewise
suhteellisen	relatively
osaltaan	"for one's part, as far as one is concerned"
kenties	possibly
tosi	really, very
kohta	presently, soon
äskettäin	recently, the other day
osin	partly; part
ehdottomasti	absolutely, definitely
päinvastoin	vice versa, on the contrary
alunperin	Common misspelling of alun perin.
entisestään	still, further, even more
seuraavaksi	next
tosissaan	Seriou in earnest
ennallaan	unchanged, the same, the way it was before
useimmiten	usually, in most cases, for the most part
sisään	into
suinkaan	See ei suinkaan
mitenkään	in any way, any way, any means
kahdesti	twice
välittömästi	immediately
ollenkaan	at all; never
pikemmin	comparative form of pian
yhä_enemmän	more and more, ever more; more and more
sittemmin	since then, afterwards, after
kohden	towards, for
joukossa	among
tarkkaan	carefully; precisely
ympärille	Allative singular form of ympäri.; around, to the perimeter
perinteisesti	traditionally
valitettavasti	unfortunately; lamentably
hallussa	"In sb's possession."
kun_taas	whereas, while, in turn, on the contrary
miltei	almost, nearly
vieressä	At, beside, by, near, near to, nearby, next to
seitsemäs	the seventh, abbreviation 7. , in the names of monarchs and popes VII .
hitaasti	slowly
ikäänkuin	Common misspelling of ikään kuin.
yksinkertaisesti	simply
ylös	up, upward
pitkälti	to a large extent
muualle	To elsewhere.
laajasti	widely
merkittävästi	significantly
päällä	On
kymmenkunta	About ten
rinnalla	beside
kotoisin	being a native of, coming from, originating from
taloudellisesti	economically; economically
jotenkin	somehow
entä	what about?; what?
tasan	exactly
normaalisti	normally
muutoin	otherwise
peräisin	"Always used together with the verb ollasignifying: to be original to, to have one's origins in, to originate from, to come from."
joskin	even though, although
korkeintaan	at most
uudestaan	anew; afresh; again
aktiivisesti	actively
reilusti	fairly, justly; well, much
muualta	from elsewhere
yllä	above; pitää yllä: to maintain; yllä mainittu: above-mentioned; on, wearing
huomenna	tomorrow
rajusti	fiercely
vastaavasti	correspondingly
tiettävästi	as far as is known, presumably
johdosta	because of, for, as consequence of
itsestään	by itself, spontaneously
minne	where whither
paikalla	in attendance, present
yksimielisesti	unanimously
alta	from under, from underneath, from beneath.
hiljaa	quietly, quiet, silently; slowly
samanaikaisesti	at the same time, simultaneously, together
vailla	without
irti	Loose in the sense of not being fixed or stuck, unfastened, free.
enintään	maximum, at most, not more than
perässä	behind, after
edestä	from in front of, from before; for, on behalf of; used to express equal worth
ajoissa	in time
tavallaan	in a way
sen_vuoksi	"therefore, because of it, that's why"
kotona	"at home, at somebody's place"
kahdeksas	8th
varhain	early
kuulemma	said to be
sittenkin	after all, on second thought
useasti	often, many times, repeatedly
edellä	above; first
sijaan	instead of.
kymmenes	10th
ennen_muuta	primarily
vapaasti	Freely.
arviolta	approximately
samoin_kuin	as well as
ulkona	out, outdoors; outside.
välissä	between
kokonaisuudessaan	in its entirety
toisin	otherwise, differently
täältä	from here
lähelle	near, close, nearby
paljolti	largely
tasaisesti	smoothly, constantly
äärimmäisen	extremely, supremely
suunnilleen	about, around, approximately, some; odd
neljänneksi	fourthly, for the fourth
sitä_paitsi	moreover, furthermore, besides
vastoin	against
niukasti	sparsely, scarcely, scantily
kansainvälisesti	internationally
käytettävissä	available; disposable
juuri_nyt	right now, just now
suuresti	greatly
perille	to/at the destination
rauhallisesti	in a calm manner; quietly
haltuun	to the possession
kauas	To far, to far away.
alun_perin	originally, initially
monesti	many times; often
mukavasti	conveniently, nicely
väkisin	By force, involuntarily.
hienosti	nicely, elegantly, very well
liikkeellä	on the go, on the move, on the run
julkisesti	publicly
oikeasti	really; correctly
säännöllisesti	regularly
luona	"at sb's; by, near, close to"
ensisijaisesti	primarily
erinomaisesti	excellently
saman_verran	same amount, as much
meneillään	olla meneillään: to be going on, currently happening
rinnalle	to the side of
kaiken_kaikkiaan	all in all
luultavasti	probably
mainiosti	perfectly, outstandingly
sen_takia	therefore, consequently
hiljattain	recently, the other day
vasten	against
kaksikymmentä	twenty
anteeksi	pyytää ~ = to apologize, ask for forgiveness.; antaa ~ = to forgive
toistakymmentä	more than ten
silloin_tällöin	every now and then, once in a while
ennakkoon	in advance, beforehand
tuntuvasti	considerably
myönteisesti	positively
perään	genitive + ~: after; genitive + ~: into
ylipäätään	generally, on the whole, in general; at all
vasta_kun	only after, only when, not before
jälleen_kerran	once again
yhdeksäs	the ninth, abbreviation 9. , in the names of monarchs and popes IX .
peräkkäin	one after the other, one after another, successively; running; straight, on the trot
lopuksi	lastly, finally, ultimately
pahoin	badly
paikoin	at some places, locally
yhtä_hyvin	as well
tiiviisti	tightly; densely; closely
jyrkästi	steeply; sharply
ylöspäin	upward, upwards
avoimesti	openly
kovaa	In a manner described by the adjective kova in the senses fast and loud.
ajoittain	Once in a while, from time to time, at times, occasionally, periodically.
tieten	knowingly; tieten tahtoen: wilfully and knowingly
herkästi	easily; sensitively; exquisitely, delicately
perusteellisesti	thoroughly
odotetusti	expectedly
kera	with
läsnä	present
yhtä_aikaa	at the same time, simultaneously, together
puhtaasti	cleanly
ylivoimaisesti	overwhelmingly; by far
poliittisesti	politically
ahkerasti	diligently, studiously
automaattisesti	automatically
loppujen_lopuksi	after all, when all is said and done
sikäli	as far as
ilman_muuta	absolutely, without doubt, unhesitatingly
sopivasti	suitably; opportunely
alusta_lähtien	From the beginning.
henkisesti	mentally
reippaasti	briskly; much more/less
kimppuun	A postposition used predominantly with verbs expressing the movement of attacking, assailing etc. sb or sth in a way or another
pikaisesti	promptly
henkilökohtaisesti	in person, face to face, vis-à-vis; personally; personally; personally
keskelle	to the middle
äkkiä	quickly, suddenly
vaille	to, till:
yksitoista	eleven
yhtäkkiä	suddenly, abruptly, all of a sudden
selvillä	known, aware, decided, solved, found out
kohdallaan	in place
nykyisellään	as things currently stand
viisitoista	fifteen
vastikään	just, newly
kolmisen	about three
sekaisin	in disorder, in confusion, upside down; baffled, bewildered, confused, perplexed; upset
kolmekymmentä	thirty
koossa	together
varsinaisesti	actually, really
viereen	next to, used of movement or other type of appearance next to something.
pahimmillaan	at worst
yksinomaan	exclusively, solely
alaspäin	downwards
viimein	finally
pysyvästi	permanently
ennalta	beforehand
kaksitoista	twelve
kerralla	without stopping
ohessa	by, at the side, alongside; together with, alongside, along with, while
viidenneksi	Translative form of viides.
myöhässä	late
periksi	antaa periksi: to give up
toisinaan	sometimes, occasionally
ikinä	ever; never, not ... ever.; never ever
kaiken_aikaa	all the time
pääsääntöisesti	as a rule
lievästi	slightly
suunnitteilla	under planning
ääressä	at
kertaakaan	Used with negation verb ei,even once; even once
komeasti	magnificently; handsomely
koolla	assembled, gathered, together
aina_kun	every time, whenever
kymmenisen	about ten
julki	public; openly
rohkeasti	bravely, courageously, valiantly
tätä_nykyä	nowadays, currently, in this day and age
huolellisesti	carefully
heikosti	weakly; poorly
kateissa	lost
vastakkain	against; face to face, vis-à-vis
saman_tien	as well; by the same token; on the spot, right away, in a jiffy
puhelimitse	By telephone.
aikaisintaan	Not before, not earlier than, at the earliest.
niinikään	also, as well
teknisesti	technically
hyvissä_ajoin	in good time
taatusti	certainly
sivuun	aside
olennaisesti	essentially
sisälle	inside; indoors
ennestään	previously; already
epäilemättä	undoubtedly, indubitably, unquestionably, doubtlessly, undoubtably
oleellisesti	essentially
ensimmäiseksi	firstly
ratkaisevasti	crucially; decisively
yläpuolella	See: yläpuoli
tyystin	fully, completely
ennenkuin	Common misspelling of ennen kuin.
viime_kädessä	ultimately, in the end, eventually
melkoisesti	quite a bit, considerably
pystyssä	upright, erect
tietoisesti	consciously, knowingly, volitionally
kokoon	together
innokkaasti	avidly, eagerly, enthusiastically
jokseenkin	somewhat
kymmenentuhatta	ten thousand
kesäisin	in the summer, every summer
toistuvasti	repeatedly
varalta	just in case
minkä_vuoksi	what for
hirveän	terribly
luontevasti	naturally, easily
perillä	at the destination
kotoa	From home.
kauniisti	beautifully
tähden	because of, for the sake of
ensiksi	first, at first, firstly
hiljalleen	slowly, little by little
läheltä	from near, from the vicinity
mieluiten	superlative form of mieluusti
turvallisesti	safely
kolmisenkymmentä	about thirty
nyt_kun	now that
luo	to,to
jonnekin	to somewhere
edelle	before.
taas_kerran	once again
lähtöisin	originating from
omiaan	apt to
täsmälleen	exactly, precisely
tekeillä	in the making
tunnetusti	famously
kevyesti	lightly
kuudenneksi	Translative form of kuudes.
entuudestaan	already
jäljessä	after, behind, lacking
huolissaan	[While being] concerned, worried, bothered; olla ~: to be concerned, worried, bothered
sujuvasti	fluently; smoothly
yksinään	alone, by oneself
yhä_useammin	more and more
eritoten	notably, especially
koolle	together
kyllin	enough
jäljelle	left, left over, remaining
osaksi	partly
kahtia	in two
vallan	quite
varovasti	carefully, cautiously
toistamiseen	again
alustavasti	tentatively
prosenttisesti	-percent
taitavasti	skillfully; ably
sattumalta	accidentally, by chance; fortuitously
muassa	along with
yhtä_lailla	similarly, by the same token
mukaan_lukien	including, inclusive
aika_ajoin	from time to time, periodically, at intervals
vilkkaasti	actively
varovaisesti	carefully
tuoreeltaan	consumed fresh, freshly, unprepared; red-handed
loistavasti	perfectly, excellently; shiningly
itsenäisesti	independently
taaksepäin	In the direction towards the back, backward.
parisen	about two, a couple
ympärillä	Adessive singular form of ympäri.; around, on the perimeter
maailmanlaajuisesti	globally, worldwide
nelisen	about four
hukkaan	wasted, lost
yläpuolelle	See: yläpuoli
ankarasti	harshly, hardly, strictly
sisältä	from inside; from indoors
jossain_määrin	to some extent
paikoilleen	to where they belong; panna ~ : to put up, put away
ennen_pitkää	before long
alhaalla	down below, below; down there/here; downstairs; at the bottom
ylle	to above, over
lailla	way, manner; samalla lailla: in the same way; sillä lailla: in that way; aika lailla: quite a bit, not a little
umpeen	sealed, closed, shut
saati	let alone, not to mention
iloisesti	happily, merrily, gaily
missään_nimessä	by no means, not by any means
tilalla	in place of, instead, in lieu of
kummasti	strangely
vähän_aikaa	awhile, for a while
ripeästi	promptly
ynnä	plus; and; ynnä muuta et cetera; ynnä muut: et al.
laajalti	widely
neljäkymmentä	forty
hirveästi	terribly
siihen_asti	theretofore, until then, until that time, before that
yhteisesti	jointly
kohtuullisesti	moderately; reasonably
salaa	In secret, secretly.
tahallaan	intentionally, on purpose, purposely, deliberately
toisaalla	elsewhere
tyylikkäästi	stylishly, classily
kiivaasti	furiously
nojalla	on grounds
vastedes	In the future, henceforth, hereafter
ylipäänsä	Alternative form of ylipäätään.
nurin	over, inside out, upside down
puolikymmentä	About five.
kiitettävästi	excellently, laudably
ulospäin	outward
tasapuolisesti	evenhandedly
oikealla	On the right.
onnistuneesti	successfully
vakaasti	steadily, constantly
erillään	apart, separate, separated, separately.
kriittisesti	critically
kielteisesti	negatively
pahiten	most badly, in the worst way or manner
entisellään	unchanged, unaltered
toisin_sanoen	that is, that is to say; in other words
lähempänä	closer, nearer
öisin	in the night, at night
sunnuntaisin	Sundays, on Sundays
nelisenkymmentä	about forty
väliaikaisesti	temporarily, transitorily
nyttemmin	now, nowadays
varmuuden_vuoksi	for good measure
tietenkään	of course not
kolmesti	Alternative form of kolmasti.
sitkeästi	resiliently
ennemmin	comparative form of ennen
paikallisesti	locally
plus	plus
seitsemänneksi	Translative form of seitsemäs.
viimeiseksi	lastly, finally, ultimately
asteittain	gradually
vakuuttavasti	convincingly
mielelläni	Form of mielellään.
raskaasti	heavily
rutkasti	a lot, plentifully
joskaan	even though ... not, although ... not
rehellisesti	honestly
ikuisesti	eternally
kirjaimellisesti	literally, word for word
lujasti	firmly
sitäpaitsi	Common misspelling of sitä paitsi.
joo	yeah, yes
arkisin	on weekdays
laittomasti	illegally
alati	always
viitisenkymmentä	about fifty
kolmetoista	thirteen
alueellisesti	regionally
siihen_mennessä	theretofore, until then, until that time, before that
muodollisesti	formally
tällä_erää	for now
taikka	or
edullisesti	inexpensively
halki	through:; across:; to be broken in two
kutakuinkin	just about, more or less
ohitse	by, past
vastapäätä	opposite, vis-à-vis, across
kerta_kaikkiaan	completely, utterly
vastaisesti	against
näkyviin	out in the open, into sight.
määrätietoisesti	determinedly
keskeltä	from the middle
väärässä	olla ~ to be wrong/incorrect, have the incorrect view
päältä	From top of.
samoihin_aikoihin	at about the same time
tuolla	there or over there
paraikaa	Alternative form of parastaikaa.
kahdeksanneksi	Translative form of kahdeksas.
huimasti	hugely
roimasti	a great deal more
käsillä	at hand
yksiselitteisesti	unequivocally, unambiguously
aika_lailla	quite a bit, considerably
kaikkialle	everywhere:
rinnakkain	side by side
vaihteeksi	for a change
poikkeuksellisesti	exceptionally
talvisin	during winters
vauhdikkaasti	fast
kiireesti	hastily
kaksisataa	two hundred
tyhjillään	empty; vacated, abandoned, without occupants, unoccupied
viikottain	Alternative form of viikoittain.
vuosi	year
suomi	Finnish language
markka	former Finnish currency
maa	country; earth; soil; land; ground; countryside
asia	thing, matter, issue, business
prosentti	percent
ihminen	human being
mies	man
aika	time (temporal distance)
työ	work
mieli	mind
kaupunki	town
osa	part
alue	area
lapsi	child
päivä	day
hallitus	government
kunta	municipality
nainen	woman
viikko	week
venäjä	Russian
turku	marketplace
luku	number, count, quantity
kerta	time (occasion)
yritys	company, firm, enterprise
alku	start, beginning, inception, incipience.
paikka	place, location, spot, site
tilanne	situation
presidentti	president
tieto	knowledge
loppu	end
tapa	custom
maailma	world; Earth; celestial body; planet; universe; social setting; individual or group perspective
määrä	amount, quantity
puheenjohtaja	chairperson
poliisi	police
kisa	competition, games
auto	car
toiminta	action, activity
tulos	result
raha	money
päätös	decision
käyttö	use
syy	reason; fault; fibre; filament
elämä	life
kilpailu	contest, competition, race
koulu	school
kesä	summer
ongelma	problem, trouble
yhtiö	company, corporation
joukkue	team
nuori	young person, youth
mahdollisuus	possibility
kausi	period, age, epoch, season
suomalainen	a Finn
valtio	government, state
kuva	picture
nimi	name
joukko	group, cluster, band
johtaja	leader, commander
ruotsi	Swedish
tila	state, condition, space; stead, personal space
apu	help
ryhmä	group, team
hetki	moment
tehtävä	A task
puolue	A party.
tavoite	target, goal
voitto	victory, win
matka	trip
kauppa	commerce, business, trade;traffic
ottelu	A match, as a sporting event.
sopimus	agreement, arrangement, contract.
maanantai	Monday
hinta	A price.
sunnuntai	Sunday
sarja	series
perjantai	Friday
puoli	half
lauantai	Saturday
saksa	The German language.
yhteistyö	cooperation
jäsen	A limb.
tutkimus	research
joensuu	river mouth
syksy	autumn, fall
torstai	Thursday
tiistai	Tuesday
keskiviikko	Wednesday
kysymys	question
talo	farm, homestead
kuukausi	A month.
ohjelma	program, programme
ratkaisu	solution, answer
peli	match, game
kirja	book
tuki	Support.
poika	boy
esitys	presentation
edustaja	representative
ala	area of work or study
tie	way
perhe	family, nuclear family
metri	A metre, meter
oikeus	Rightness, fairness,authenticity
matti	A checkmate
asema	state, position, situation
elokuva	movie
voima	power, strength, force, might
tarkoitus	meaning
maali	paint
johto	cord
muutos	change
pekka	guy; John
tunti	An hour
tapahtuma	event, happening, occurrence, incident
hanke	project
kevät	spring
piste	point, dot, full stop, period
kokous	meeting, assembly, convent, gathering
vesi	water
liitto	cooperation based on common agreement, union
tulevaisuus	future
ääni	sound
palvelu	service
juttu	Talk
kunto	condition
taso	level
pääministeri	prime minister
tulo	coming, arrival
keskusta	A centre of a town or a city.
nato	one’s wife’s sister
työntekijä	An employee
osuus	share, part
käsi	arm
lehti	leaf
asiakas	customer, client
henkilö	person
sivu	page, side
raja	boundary border frontier; limit; line
toimitusjohtaja	managing director, executive director
musiikki	music
teos	oevre; opus; work (literary, artistic or intellectual)
talous	economy
sota	war
koti	home
kilometri	kilometre/kilometer
asukas	resident, inhabitant
käytäntö	custom, convention
vaali	election
kari	rock
kirkko	church
minuutti	minute
keskustelu	Conversation, discussion, talk
tapaus	An event, incident, occurrence, occasion.
eduskunta	The Finnish Parliament.
ero	difference, distinction
arvo	value, worth.
henki	Breath.
neuvottelu	negotiation
vaihe	A phase, stage, point, period.
pankki	bank
koulutus	education
työpaikka	A workplace.
suhde	proportion, ratio
historia	history
komissio	commission
laki	A summit, topmost point of eg. a hill or trajectory.
pelaaja	player
kello	clock
näyttely	exhibition, fair, show
yhteys	connection, access
kokemus	experience
ehdokas	A candidate
asunto	residence
kehitys	development, improvement, advancement, evolution
osake	share
huomio	attention
ranska	French
äiti	mother, mom.
yleisö	audience
myynti	sale
hoito	care
tarve	need, demand
suunta	direction
lupa	permission
ajatus	A thought.
tyttö	girl
kohde	target
tuote	product
kone	machine
opettaja	teacher
ilta	evening
maakunta	county, province, region
markkinat	market
kieli	language
vuosikymmen	A decade
tekijä	author
kansa	people; nation
yö	night
sana	word
vaihtoehto	alternative, option
merkitys	meaning
isä	father
jukka	yucca
liike	motion
suunnitelma	plan, scheme
tuotanto	production
valmentaja	coach
malli	A model.
parlamentti	parliament
kansalainen	citizen
pää	head
vanhempi	parent
aihe	topic, subject, theme
talvi	winter
vauhti	speed, velocity, pace, momentum; (physics) speed; (slang) methamphetamine
yhteiskunta	society
kiina	The Chinese language.
meno	course
vaikutus	influence, effect, impact
rakennus	A building
kylä	village
kanta	stem
opiskelija	A student.
metsä	forest, woods
liikenne	traffic
tutkija	researcher
laji	kind, sort;
vastuu	responsibility, charge
kansanedustaja	A Member of The Finnish Parliament; congressperson
rooli	role
norja	Norwegian language.
järjestö	organization
puu	tree
etu	advantage
professori	professor
luokka	class
linja	line
elokuu	August
politiikka	politics
seutu	region
aho	glade
oppilas	pupil
kierros	A round, as a circular or repetitive route; a round, as a serving
kesäkuu	June
piiri	A circle.
valinta	selection
euro	euro
puhe	speech
kulttuuri	culture
ura	track, groove or rut
huoli	worry, concern.
valtuusto	council
viro	The Estonian language
liiga	league (sports, group)
kokoomus	composition, constitution
kehittäminen	developing
omistaja	owner
silmä	eye
projekti	a project
yhdistys	association, society
nousu	a rise
viranomainen	An official, public officer
kenttä	A field.
erä	batch
tarina	story, tale
teatteri	theatre
väki	people, crowd.
yrittäjä	An entrepreneur
ministeri	A minister
kustannus	expense, cost
sairaala	A hospital.
syyskuu	September
merkki	mark, sign
keskus	A centre/center
lokakuu	October
internet	internet
sekunti	A second.
onni	happiness
luonto	nature, environment
valta	power, might, authority
ympäristö	environment
pohja	bottom
toukokuu	May
keino	means, way, vehicle
taiteilija	artist
tehdas	factory; mill
toimittaja	A reporter, journalist, editor
maaliskuu	March
ruoka	food
lappi	The Sami language, Lappish.
heinäkuu	July
tammikuu	January.
virka	A post, position, office, public office
kriisi	crisis
vara	reserve, backup
tausta	background
joulukuu	December
yliopisto	a university, a college
selvitys	A document covering the description and results of an investigation, a report.
lääkäri	physician, medical doctor
dollari	dollar
turkki	fur
sija	stead
mestaruus	mastery, virtuosity
italia	Italian
marraskuu	November
tilaisuus	occasion
olo	being, the action of the verb olla
ystävä	friend
jalka	foot
palkinto	prize, award
konsertti	concert
rauha	peace, harmony, calm
katsoja	viewer, spectator
jorma	penis
pakolainen	refugee
ulkomaa	foreign country
palkka	wage, salary
juhla	feast
levy	A thin, flat object of uniform thickness; a plate.
järjestelmä	system
toimi	chore, task, job, duty
julkisuus	publicity
teko	act, deed
lasku	descent, an instance of descending, sliding down a hill, landing of an airplane etc.
vieras	A guest
potilas	patient
ovi	door
budjetti	budget
laitos	institution
näytelmä	play
menestys	success
arvio	An estimate, assessment.
rata	railroad track, line
voittaja	winner
kappale	An object
turvallisuus	safety
lähtö	departure
ranta	The border of a body of water and land in general, a shore.
televisio	television
ulkoministeri	foreign minister, secretary of state
esimerkki	example
teksti	text
lahti	A bay, gulf.
taistelu	A fight.
salo	A deep forest, wilderness.
vaatimus	demand, claim
seurakunta	A parish
kurssi	A course
armeija	army
työryhmä	working group
vaikeus	difficulty
ehto	condition, term
taide	art
ehdotus	suggestion
mäkinen	small hill
jälki	trace
katu	street
muoto	A shape.
